ensembl_gene_id,entrezgene,hgnc_symbol,gene_biotype,wikigene_description
ENSG00000282873,605,BCL7A,protein_coding,B-cell CLL/lymphoma 7A
ENSG00000280651,100506691,,processed_transcript,uncharacterized LOC100506691
ENSG00000282162,NA,,lincRNA,
ENSG00000281211,NA,CTBP2P1,processed_pseudogene,
ENSG00000281509,NA,,unprocessed_pseudogene,
ENSG00000283302,100507747,,protein_coding,uncharacterized LOC100507747
ENSG00000283035,100885778,NALCN-AS1,antisense,NALCN antisense RNA 1
ENSG00000281934,440560,PRAMEF11,protein_coding,PRAME family member 11
ENSG00000281865,NA,LINC00411,lincRNA,
ENSG00000281252,26080,FAM230C,processed_transcript,family with sequence similarity 230 member C
ENSG00000281175,NA,,protein_coding,
ENSG00000281616,NA,GGT4P,unprocessed_pseudogene,
ENSG00000281178,22877,MLXIP,protein_coding,MLX interacting protein
ENSG00000281084,NA,,unprocessed_pseudogene,
ENSG00000282116,NA,PRAMEF30P,unprocessed_pseudogene,
ENSG00000280895,NA,SETD8P1,processed_pseudogene,
ENSG00000282175,343069,HNRNPCL1,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 1
ENSG00000281878,NA,,unprocessed_pseudogene,
ENSG00000281449,79370,BCL2L14,protein_coding,BCL2 like 14
ENSG00000280477,22821,RASA3,protein_coding,RAS p21 protein activator 3
ENSG00000282817,65122,PRAMEF2,protein_coding,PRAME family member 2
ENSG00000282584,400735,PRAMEF4,protein_coding,PRAME family member 4
ENSG00000282663,343071,PRAMEF10,protein_coding,PRAME family member 10
ENSG00000280531,NA,RASA3-IT1,sense_intronic,
ENSG00000279195,441871,PRAMEF7,protein_coding,PRAME family member 7
ENSG00000282338,NA,RNU6-1072P,snRNA,
ENSG00000282549,NA,PRAMEF29P,unprocessed_pseudogene,
ENSG00000281840,NA,,protein_coding,
ENSG00000282172,NA,IGKV5-2,IG_V_gene,
ENSG00000282119,440561,PRAMEF6,protein_coding,PRAME family member 6
ENSG00000281442,NA,,processed_pseudogene,
ENSG00000283344,103504734,MIR1244-4,miRNA,microRNA 1244-4
ENSG00000281277,283150,FOXR1,protein_coding,forkhead box R1
ENSG00000282791,NA,PRAMEF28,unprocessed_pseudogene,
ENSG00000282437,101929983,PRAMEF27,protein_coding,PRAME family member 27
ENSG00000281029,NA,,misc_RNA,
ENSG00000283318,NA,,misc_RNA,
ENSG00000281705,NA,,lincRNA,
ENSG00000282566,441873,PRAMEF25,protein_coding,PRAME family member 25
ENSG00000281324,4040,LRP6,protein_coding,LDL receptor related protein 6
ENSG00000282559,649330,HNRNPCL3,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 3
ENSG00000282258,NA,PRAMEF34P,unprocessed_pseudogene,
ENSG00000282562,NA,PRAMEF35P,unprocessed_pseudogene,
ENSG00000280975,338657,CCDC84,protein_coding,coiled-coil domain containing 84
ENSG00000282530,440563,HNRNPCL2,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 2
ENSG00000282468,NA,PRAMEF36P,transcribed_unprocessed_pseudogene,
ENSG00000282341,NA,,lincRNA,
ENSG00000281987,645359,PRAMEF26,protein_coding,PRAME family member 26
ENSG00000282095,101060301,HNRNPCL4,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 4
ENSG00000282298,343070,PRAMEF9,protein_coding,PRAME family member 9
ENSG00000282741,NA,PRAMEF13,unprocessed_pseudogene,
ENSG00000282212,391003,PRAMEF18,protein_coding,PRAME family member 18
ENSG00000282289,NA,PRAMEF31P,unprocessed_pseudogene,
ENSG00000281913,NA,RPL23AP64,processed_pseudogene,
ENSG00000280582,NA,,antisense,
ENSG00000282424,343068,PRAMEF5,protein_coding,PRAME family member 5
ENSG00000281697,NA,,processed_pseudogene,
ENSG00000282216,NA,PRAMEF32P,unprocessed_pseudogene,
ENSG00000282288,NA,RNU6-443P,snRNA,
ENSG00000282288,NA,RNU6-771P,snRNA,
ENSG00000281086,NA,,antisense,
ENSG00000280831,6230,RPS25,protein_coding,ribosomal protein S25
ENSG00000282583,391002,PRAMEF8,protein_coding,PRAME family member 8
ENSG00000280475,NA,,processed_pseudogene,
ENSG00000281660,338599,DUPD1,protein_coding,dual specificity phosphatase and pro isomerase domain containing 1
ENSG00000206783,NA,RNU6-545P,snRNA,
ENSG00000281874,NA,,processed_pseudogene,
ENSG00000207477,NA,RNU6-318P,snRNA,
ENSG00000281818,54682,MANSC1,protein_coding,MANSC domain containing 1
ENSG00000282688,653619,PRAMEF15,protein_coding,PRAME family member 15
ENSG00000281051,NA,RPL23AP66,processed_pseudogene,
ENSG00000281234,503693,LOH12CR2,lincRNA,loss of heterozygosity, 12, chromosomal region 2 (non-protein coding)
ENSG00000282125,NA,PRAMEF33P,unitary_pseudogene,
ENSG00000280689,118426,BORCS5,protein_coding,BLOC-1 related complex subunit 5
ENSG00000282792,645414,,protein_coding,PRAME family member 19
ENSG00000281168,NA,,processed_pseudogene,
ENSG00000280962,80824,DUSP16,protein_coding,dual specificity phosphatase 16
ENSG00000280495,51399,TRAPPC4,protein_coding,trafficking protein particle complex 4
ENSG00000280495,51399,TRAPPC4,protein_coding,microRNA 3656
ENSG00000280495,100500840,TRAPPC4,protein_coding,trafficking protein particle complex 4
ENSG00000280495,100500840,TRAPPC4,protein_coding,microRNA 3656
ENSG00000281671,NA,,lincRNA,
ENSG00000281525,NA,,processed_pseudogene,
ENSG00000281860,NA,,antisense,
ENSG00000280774,342900,LEUTX,protein_coding,leucine twenty homeobox
ENSG00000281677,NA,,lincRNA,
ENSG00000281320,9149,DYRK1B,protein_coding,dual specificity tyrosine phosphorylation regulated kinase 1B
ENSG00000281403,102465974,MIR6719,miRNA,microRNA 6719
ENSG00000280682,10525,HYOU1,protein_coding,hypoxia up-regulated 1
ENSG00000280548,2091,FBL,protein_coding,fibrillarin
ENSG00000280932,NA,PRR13P5,processed_pseudogene,
ENSG00000281221,5704,PSMC4,protein_coding,proteasome 26S subunit, ATPase 4
ENSG00000281526,339327,ZNF546,protein_coding,zinc finger protein 546
ENSG00000281233,NA,,processed_pseudogene,
ENSG00000281601,163131,ZNF780B,protein_coding,zinc finger protein 780B
ENSG00000281009,NA,,processed_transcript,
ENSG00000281163,NA,,lincRNA,
ENSG00000280967,NA,,antisense,
ENSG00000280568,284323,ZNF780A,protein_coding,zinc finger protein 780A
ENSG00000280616,55823,VPS11,protein_coding,VPS11, CORVET/HOPS core subunit
ENSG00000280797,NA,,antisense,
ENSG00000281123,8857,FCGBP,protein_coding,Fc fragment of IgG binding protein
ENSG00000281702,3145,HMBS,protein_coding,hydroxymethylbilane synthase
ENSG00000281500,2542,SLC37A4,protein_coding,solute carrier family 37 member 4
ENSG00000283024,84896,ATAD1,protein_coding,ATPase family, AAA domain containing 1
ENSG00000282866,142913,CFL1P1,transcribed_unprocessed_pseudogene,cofilin 1 pseudogene 1
ENSG00000282825,9811,CTIF,protein_coding,CBP80/20-dependent translation initiation factor
ENSG00000283092,NA,RN7SL78P,misc_RNA,
ENSG00000283055,NA,,sense_intronic,
ENSG00000283114,NA,NDUFB11P1,processed_pseudogene,
ENSG00000283120,NA,,processed_pseudogene,
ENSG00000282467,NA,,processed_pseudogene,
ENSG00000282931,NA,,snoRNA,
ENSG00000283067,NA,MED6P1,processed_pseudogene,
ENSG00000283059,100144748,KLLN,protein_coding,killin, p53-regulated DNA replication inhibitor
ENSG00000283668,NA,,lincRNA,
ENSG00000283094,5728,PTEN,protein_coding,phosphatase and tensin homolog
ENSG00000283153,2483,FRG1,protein_coding,FSHD region gene 1
ENSG00000282908,120114,FAT3,protein_coding,FAT atypical cadherin 3
ENSG00000283080,NA,,TEC,
ENSG00000282900,100616366,MIR4743,miRNA,microRNA 4743
ENSG00000282959,105372107,,antisense,uncharacterized LOC105372107
ENSG00000283002,NA,,TEC,
ENSG00000282923,NA,,antisense,
ENSG00000283062,NA,PGAM1P9,processed_pseudogene,
ENSG00000282929,NA,,antisense,
ENSG00000282928,11184,MAP4K1,protein_coding,mitogen-activated protein kinase kinase kinase kinase 1
ENSG00000282050,NA,IGKV7-3,IG_V_pseudogene,
ENSG00000282699,NA,PGBD4P5,processed_pseudogene,
ENSG00000282974,1804,DPP6,protein_coding,dipeptidyl peptidase like 6
ENSG00000282448,NA,IGKV2-4,IG_V_pseudogene,
ENSG00000282801,NA,IGKV1-5,IG_V_gene,
ENSG00000282163,NA,IGKV1-6,IG_V_gene,
ENSG00000282310,NA,IGKV3-7,IG_V_gene,
ENSG00000283113,NA,IGKV1-8,IG_V_gene,
ENSG00000282758,NA,IGKV1-9,IG_V_gene,
ENSG00000282248,NA,IGKV2-10,IG_V_pseudogene,
ENSG00000282823,NA,IGKV3-11,IG_V_gene,
ENSG00000282694,NA,IGKV1-12,IG_V_gene,
ENSG00000282603,NA,IGKV1-13,IG_V_pseudogene,
ENSG00000282251,NA,IGKV2-14,IG_V_pseudogene,
ENSG00000282447,NA,IGKV3-15,IG_V_gene,
ENSG00000282282,NA,IGKV1-16,IG_V_gene,
ENSG00000281978,NA,IGKV1-17,IG_V_gene,
ENSG00000282200,NA,IGKV2-18,IG_V_pseudogene,
ENSG00000282244,NA,IGKV2-19,IG_V_pseudogene,
ENSG00000282402,NA,IGKV3-20,IG_V_gene,
ENSG00000282210,NA,IGKV6-21,IG_V_gene,
ENSG00000282762,NA,IGKV1-22,IG_V_pseudogene,
ENSG00000282093,NA,IGKV2-23,IG_V_pseudogene,
ENSG00000282671,NA,IGKV2-24,IG_V_gene,
ENSG00000282062,NA,IGKV3-25,IG_V_pseudogene,
ENSG00000282622,NA,IGKV2-26,IG_V_pseudogene,
ENSG00000282000,NA,,unprocessed_pseudogene,
ENSG00000282666,NA,IGKV1-27,IG_V_gene,
ENSG00000283068,25998,IBTK,protein_coding,inhibitor of Bruton tyrosine kinase
ENSG00000282025,NA,IGKV2-28,IG_V_gene,
ENSG00000282635,NA,IGKV2-29,IG_V_pseudogene,
ENSG00000282956,9223,MAGI1,protein_coding,membrane associated guanylate kinase, WW and PDZ domain containing 1
ENSG00000281933,NA,IGKV2-30,IG_V_gene,
ENSG00000282743,NA,IGKV3-31,IG_V_pseudogene,
ENSG00000282571,NA,IGKV1-32,IG_V_pseudogene,
ENSG00000282811,NA,IGKV1-33,IG_V_gene,
ENSG00000282149,NA,IGKV3-34,IG_V_pseudogene,
ENSG00000282157,NA,IGKV1-35,IG_V_pseudogene,
ENSG00000282646,NA,IGKV2-36,IG_V_pseudogene,
ENSG00000282394,NA,IGKV1-37,IG_V_gene,
ENSG00000282387,NA,IGKV2-38,IG_V_pseudogene,
ENSG00000282120,NA,IGKV1-39,IG_V_gene,
ENSG00000282182,NA,IGKV2-40,IG_V_gene,
ENSG00000283115,NA,,protein_coding,
ENSG00000282982,105372397,,antisense,uncharacterized LOC105372397
ENSG00000282986,27335,EIF3K,protein_coding,eukaryotic translation initiation factor 3 subunit K
ENSG00000282867,NA,RNU6-130P,snRNA,
ENSG00000282877,NA,,processed_pseudogene,
ENSG00000283085,7162,TPBG,protein_coding,trophoblast glycoprotein
ENSG00000282844,81,ACTN4,protein_coding,actinin alpha 4
ENSG00000282739,115286,SLC25A26,protein_coding,solute carrier family 25 member 26
ENSG00000282510,NA,RNU6-787P,snRNA,
ENSG00000282585,NA,RN7SL482P,misc_RNA,
ENSG00000282976,NA,,antisense,
ENSG00000282869,NA,,antisense,
ENSG00000282902,3963,LGALS7B,protein_coding,galectin 7
ENSG00000282902,3963,LGALS7B,protein_coding,galectin 7B
ENSG00000282902,653499,LGALS7B,protein_coding,galectin 7
ENSG00000282902,653499,LGALS7B,protein_coding,galectin 7B
ENSG00000283082,3963,LGALS7,protein_coding,galectin 7
ENSG00000283082,3963,LGALS7,protein_coding,galectin 7B
ENSG00000283082,653499,LGALS7,protein_coding,galectin 7
ENSG00000283082,653499,LGALS7,protein_coding,galectin 7B
ENSG00000283011,NA,RNU6-140P,snRNA,
ENSG00000282992,3960,LGALS4,protein_coding,galectin 4
ENSG00000282243,26018,LRIG1,protein_coding,leucine-rich repeats and immunoglobulin like domains 1
ENSG00000282853,1891,ECH1,protein_coding,enoyl-CoA hydratase 1, peroxisomal
ENSG00000282832,NA,,protein_coding,
ENSG00000283077,NA,,antisense,
ENSG00000282947,3191,HNRNPL,protein_coding,heterogeneous nuclear ribonucleoprotein L
ENSG00000282846,NA,,sense_intronic,
ENSG00000282895,126432,RINL,protein_coding,Ras and Rab interactor like
ENSG00000283121,NA,,antisense,
ENSG00000283100,22933,SIRT2,protein_coding,sirtuin 2
ENSG00000282905,4793,NFKBIB,protein_coding,NFKB inhibitor beta
ENSG00000283099,643669,CCER2,protein_coding,coiled-coil glutamate rich protein 2
ENSG00000283104,54938,SARS2,protein_coding,seryl-tRNA synthetase 2, mitochondrial
ENSG00000282835,NA,,protein_coding,
ENSG00000283018,6183,MRPS12,protein_coding,mitochondrial ribosomal protein S12
ENSG00000282930,NA,,lincRNA,
ENSG00000282954,115290,FBXO17,protein_coding,F-box protein 17
ENSG00000283021,126433,FBXO27,protein_coding,F-box protein 27
ENSG00000282901,147968,CAPN12,protein_coding,calpain 12
ENSG00000283102,NA,,lincRNA,
ENSG00000282193,NA,,processed_pseudogene,
ENSG00000282362,NA,,transcribed_unprocessed_pseudogene,
ENSG00000282654,NA,RN7SL673P,misc_RNA,
ENSG00000282324,NA,DNM1P28,unprocessed_pseudogene,
ENSG00000282509,89837,ULK4P3,transcribed_unprocessed_pseudogene,ULK4 pseudogene 3
ENSG00000282767,NA,,snoRNA,
ENSG00000282328,NA,RN7SL469P,misc_RNA,
ENSG00000282400,NA,DNM1P30,unprocessed_pseudogene,
ENSG00000283530,25834,MGAT4C,protein_coding,MGAT4 family member C
ENSG00000282316,NA,,unprocessed_pseudogene,
ENSG00000282096,26082,,lincRNA,uncharacterized LOC26082
ENSG00000283595,NA,,misc_RNA,
ENSG00000283264,NA,RNU6-409P,snRNA,
ENSG00000282249,NA,,processed_pseudogene,
ENSG00000283007,NA,,lincRNA,
ENSG00000282009,NA,RNU6-17P,snRNA,
ENSG00000281198,NA,,processed_pseudogene,
ENSG00000282722,NA,,TEC,
ENSG00000282729,NA,,misc_RNA,
ENSG00000282971,283299,,sense_overlapping,uncharacterized LOC283299
ENSG00000282442,NA,,lincRNA,
ENSG00000283539,49,ACR,protein_coding,acrosin
ENSG00000283350,4588,MUC6,protein_coding,mucin 6, oligomeric mucus/gel-forming
ENSG00000282554,NA,,antisense,
ENSG00000282670,NA,,lincRNA,
ENSG00000281118,NA,,processed_pseudogene,
ENSG00000282275,NA,RN7SL628P,misc_RNA,
ENSG00000282207,NA,,antisense,
ENSG00000280931,120065,OR5P2,protein_coding,olfactory receptor family 5 subfamily P member 2
ENSG00000280808,120066,OR5P3,protein_coding,olfactory receptor family 5 subfamily P member 3
ENSG00000282689,NA,ULK4P2,transcribed_unprocessed_pseudogene,
ENSG00000281056,NA,OR5E1P,unprocessed_pseudogene,
ENSG00000281563,NA,RNU6-943P,snRNA,
ENSG00000283287,NA,,antisense,
ENSG00000280899,390093,OR10A6,polymorphic_pseudogene,olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)
ENSG00000283252,NA,,processed_pseudogene,
ENSG00000283640,NA,,lincRNA,
ENSG00000281680,26496,OR10A3,protein_coding,olfactory receptor family 10 subfamily A member 3
ENSG00000282177,NA,,snoRNA,
ENSG00000282701,NA,DNM1P50,unprocessed_pseudogene,
ENSG00000281166,338322,NLRP10,protein_coding,NLR family pyrin domain containing 10
ENSG00000283658,NA,RPL23AP82,transcribed_unprocessed_pseudogene,
ENSG00000283651,NA,,lincRNA,
ENSG00000282773,728047,GOLGA8Q,protein_coding,golgin A8 family member O
ENSG00000283163,NA,,TEC,
ENSG00000283158,4586,MUC5AC,protein_coding,mucin 5AC, oligomeric mucus/gel-forming
ENSG00000283508,NA,MLLT10P2,processed_pseudogene,
ENSG00000283243,NA,,protein_coding,
ENSG00000280606,8665,EIF3F,protein_coding,eukaryotic translation initiation factor 3 subunit F
ENSG00000283127,NA,,processed_pseudogene,
ENSG00000282547,NA,RN7SL796P,misc_RNA,
ENSG00000283593,NA,TUBB7P,unprocessed_pseudogene,
ENSG00000281960,NA,,lincRNA,
ENSG00000283700,NA,RNA5SP174,rRNA,
ENSG00000282109,NA,,unprocessed_pseudogene,
ENSG00000283581,NA,RNA5SP175,rRNA,
ENSG00000283181,NA,DUX4L9,unprocessed_pseudogene,
ENSG00000282068,NA,,unprocessed_pseudogene,
ENSG00000283449,NA,RARRES2P4,processed_pseudogene,
ENSG00000282629,NA,RN7SL286P,misc_RNA,
ENSG00000283363,NA,DUX4L8,unprocessed_pseudogene,
ENSG00000283660,NA,RPL23AP84,processed_pseudogene,
ENSG00000283223,NA,,processed_pseudogene,
ENSG00000283552,NA,,protein_coding,
ENSG00000281013,4700,NDUFA6,protein_coding,NADH:ubiquinone oxidoreductase subunit A6
ENSG00000283404,NA,,protein_coding,
ENSG00000283309,NA,,protein_coding,
ENSG00000283306,NA,,protein_coding,
ENSG00000283190,NA,,protein_coding,
ENSG00000283161,NA,,protein_coding,
ENSG00000283325,NA,,protein_coding,
ENSG00000283407,NA,,protein_coding,
ENSG00000283177,NA,,protein_coding,
ENSG00000283606,NA,,protein_coding,
ENSG00000283610,NA,,protein_coding,
ENSG00000281931,6447,SCG5,protein_coding,secretogranin V
ENSG00000283388,NA,,protein_coding,
ENSG00000281750,NA,,sense_intronic,
ENSG00000283226,100288687,,protein_coding,double homeobox 4
ENSG00000280714,NA,OLA1P1,processed_pseudogene,
ENSG00000280705,NA,,lincRNA,
ENSG00000281908,NA,,lincRNA,
ENSG00000281004,NA,CYP2D8P,unprocessed_pseudogene,
ENSG00000280467,6942,TCF20,protein_coding,transcription factor 20 (AR1)
ENSG00000282081,105370757,,antisense,uncharacterized LOC105370757
ENSG00000282555,100131315,,lincRNA,uncharacterized LOC100131315
ENSG00000281757,NA,,protein_coding,
ENSG00000282046,26585,GREM1,protein_coding,gremlin 1, DAN family BMP antagonist
ENSG00000283465,653073,GOLGA8J,protein_coding,golgin A8 family member J
ENSG00000282088,1139,,protein_coding,cholinergic receptor nicotinic alpha 7 subunit
ENSG00000282276,89839,,protein_coding,Rho GTPase activating protein 11B
ENSG00000283589,643699,GOLGA8N,protein_coding,golgin A8 family member N
ENSG00000282168,9824,ARHGAP11A,protein_coding,Rho GTPase activating protein 11A
ENSG00000280905,1565,CYP2D6,protein_coding,cytochrome P450 family 2 subfamily D member 6
ENSG00000281387,NA,,processed_pseudogene,
ENSG00000281436,NA,CYP2D8P,unprocessed_pseudogene,
ENSG00000281897,6942,TCF20,protein_coding,transcription factor 20 (AR1)
ENSG00000281465,NA,,protein_coding,
ENSG00000281478,NA,,protein_coding,
ENSG00000283135,NA,RN7SKP178,misc_RNA,
ENSG00000283134,NA,,processed_pseudogene,
ENSG00000283315,NA,,antisense,
ENSG00000282856,NA,,processed_pseudogene,
ENSG00000282962,441009,CPEB2-AS1,lincRNA,CPEB2 antisense RNA 1 (head to head)
ENSG00000282934,NA,,processed_pseudogene,
ENSG00000283109,NA,,lincRNA,
ENSG00000283124,NA,LINC01355,lincRNA,
ENSG00000282938,NA,,lincRNA,
ENSG00000283030,1447,CSN2,protein_coding,casein beta
ENSG00000283119,NA,,processed_pseudogene,
ENSG00000283032,NA,OLA1P1,processed_pseudogene,
ENSG00000283185,NA,PRAMEF28,unprocessed_pseudogene,
ENSG00000283089,NA,,lincRNA,
ENSG00000282919,NA,OLA1P1,processed_pseudogene,
ENSG00000282969,NA,,lincRNA,
ENSG00000283425,101929983,PRAMEF27,protein_coding,PRAME family member 27
ENSG00000282884,NA,CYP2D8P,unprocessed_pseudogene,
ENSG00000282838,10942,PRSS21,protein_coding,protease, serine 21
ENSG00000282833,221692,PHACTR1,protein_coding,phosphatase and actin regulator 1
ENSG00000283348,441873,PRAMEF25,protein_coding,PRAME family member 25
ENSG00000283026,6942,TCF20,protein_coding,transcription factor 20 (AR1)
ENSG00000282891,6779,STATH,protein_coding,statherin
ENSG00000282984,6905,TBCE,protein_coding,tubulin folding cofactor E
ENSG00000282966,1565,CYP2D6,protein_coding,cytochrome P450 family 2 subfamily D member 6
ENSG00000283292,649330,HNRNPCL3,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 3
ENSG00000282958,10236,HNRNPR,protein_coding,heterogeneous nuclear ribonucleoprotein R
ENSG00000283661,NA,PRAMEF34P,unprocessed_pseudogene,
ENSG00000283410,NA,PRAMEF35P,unprocessed_pseudogene,
ENSG00000282983,NA,,protein_coding,
ENSG00000283370,440563,HNRNPCL2,protein_coding,heterogeneous nuclear ribonucleoprotein C-like 2
ENSG00000283543,NA,PRAMEF36P,transcribed_unprocessed_pseudogene,
ENSG00000282837,NA,,protein_coding,
ENSG00000283624,NA,,lincRNA,
ENSG00000282967,3347,HTN3,protein_coding,histatin 3
ENSG00000283022,54768,HYDIN,protein_coding,HYDIN, axonemal central pair apparatus protein
ENSG00000283216,645359,PRAMEF26,protein_coding,PRAME family member 26
ENSG00000282845,NA,EIF1P4,processed_pseudogene,
ENSG00000283087,132864,CPEB2,protein_coding,cytoplasmic polyadenylation element binding protein 2
